,Player name,Team,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
223,Darius Garland,CLE,59,1824,20,280,699,728,151,229,27,84,111,42,63,72,4
224,Marc Gasol,TOR,44,1161,35,119,279,331,59,147,31,244,275,34,36,49,38
225,Rudy Gay,SAS,67,1461,33,266,596,726,88,114,61,301,362,35,120,136,33
226,Paul George,LAC,48,1419,29,343,782,1033,125,185,24,248,272,68,190,217,20
227,Taj Gibson,NYK,62,1025,34,167,286,379,47,52,111,156,267,27,41,56,30
228,Harry Giles,SAC,46,667,21,139,251,316,44,60,43,145,188,22,38,49,18
229,Shai Gilgeous-Alexander,OKC,70,2428,21,478,1015,1331,134,232,47,365,412,79,288,357,47
230,Rudy Gobert,UTA,68,2333,27,386,557,1026,130,101,230,686,916,51,254,403,135
231,Brandon Goodwin,ATL,34,430,24,76,190,206,29,51,11,61,72,12,28,30,4
232,Aaron Gordon,ORL,62,2017,24,335,767,894,100,228,107,368,475,51,151,224,39
233,Eric Gordon,HOU,36,1016,31,171,463,520,43,54,9,62,71,23,82,107,13
234,Devonte' Graham,CHO,63,2211,24,368,963,1145,181,471,42,170,212,62,191,233,15
235,Treveon Graham,TOT,55,929,26,87,242,243,29,45,51,99,150,24,36,56,6
236,Treveon Graham,MIN,33,663,26,62,175,171,19,30,29,71,100,17,27,37,2
237,Treveon Graham,ATL,22,266,26,25,67,72,10,15,22,28,50,7,9,19,4
238,Jerami Grant,DEN,71,1892,25,303,634,851,63,88,58,190,248,50,147,196,57
239,Jerian Grant,WAS,6,80,27,10,27,27,3,9,2,4,6,1,5,7,1
240,Josh Gray,NOP,2,23,26,1,2,2,5,2,1,1,2,0,0,0,0
241,Danny Green,LAL,68,1687,32,197,474,547,63,91,51,174,225,85,33,48,32
242,Draymond Green,GSW,43,1222,29,123,316,345,98,266,23,243,266,59,63,83,33
243,JaMychal Green,LAC,63,1307,29,151,352,430,54,49,77,311,388,29,36,48,24
244,Javonte Green,BOS,48,468,26,63,126,163,23,26,24,69,93,24,28,42,8
245,Jeff Green,TOT,48,960,33,159,344,453,42,50,24,109,133,26,73,91,19
246,Jeff Green,UTA,30,553,33,75,195,233,27,20,14,67,81,12,49,63,10
247,Jeff Green,HOU,18,407,33,84,149,220,15,30,10,42,52,14,24,28,9
248,Blake Griffin,DET,18,512,30,88,250,279,40,59,17,67,84,7,76,98,7
249,Marko Guduric,MEM,44,484,24,62,157,173,36,45,14,59,73,12,24,26,8
250,Kyle Guy,SAC,3,10,22,2,5,4,0,1,0,1,1,0,0,0,0
251,Rui Hachimura,WAS,48,1444,21,254,545,649,53,87,78,216,294,37,116,140,8
252,Devon Hall,OKC,11,81,24,6,30,20,5,13,2,5,7,4,4,8,1
253,Donta Hall,TOT,9,133,22,15,22,39,5,4,14,24,38,3,9,18,6
254,Donta Hall,DET,4,48,22,1,4,6,2,2,6,9,15,1,4,6,1
255,Donta Hall,BRK,5,85,22,14,18,33,3,2,8,15,23,2,5,12,5
256,Dusty Hannahs,MEM,2,13,26,4,9,12,0,0,0,1,1,0,2,2,0
257,Tim Hardaway Jr.,DAL,71,2091,27,384,884,1121,69,137,25,207,232,41,149,182,5
258,James Harden,HOU,68,2483,30,672,1514,2335,308,512,70,376,446,125,692,800,60
259,Maurice Harkless,TOT,62,1427,26,142,283,357,53,68,55,185,240,58,39,66,33
260,Maurice Harkless,LAC,50,1141,26,112,217,275,46,48,47,153,200,49,24,42,30
261,Maurice Harkless,NYK,12,286,26,30,66,82,7,20,8,32,40,9,15,24,3
262,Jared Harper,PHO,3,8,22,1,4,2,0,0,0,0,0,0,0,0,0
263,Montrezl Harrell,LAC,63,1749,26,471,812,1173,108,107,163,282,445,39,231,351,72
264,Gary Harris,DEN,56,1780,25,218,519,581,60,118,26,137,163,76,75,92,14
265,Joe Harris,BRK,69,2123,28,381,784,998,104,144,64,234,298,41,64,89,17
266,Tobias Harris,PHI,72,2469,27,553,1173,1411,104,227,69,426,495,53,174,216,40
267,Shaquille Harrison,CHI,43,484,26,77,165,209,19,49,22,64,86,34,39,50,19
268,Josh Hart,NOP,65,1755,24,225,532,656,75,108,61,364,425,63,85,115,23
269,Isaiah Hartenstein,HOU,23,266,21,44,67,107,16,18,29,61,90,9,19,28,12
270,Udonis Haslem,MIA,4,44,39,4,11,12,1,1,1,15,16,0,3,4,0
271,Jaxson Hayes,NOP,64,1080,19,174,259,472,53,56,97,162,259,26,123,190,55
272,Gordon Hayward,BOS,52,1740,29,350,700,909,96,212,55,293,348,38,124,145,22
273,John Henson,TOT,40,600,29,95,171,221,36,54,46,116,162,24,23,46,42
274,John Henson,CLE,29,412,29,61,120,145,21,43,32,82,114,16,17,33,32
275,John Henson,DET,11,188,29,34,51,76,15,11,14,34,48,8,6,13,10
276,Dewan Hernandez,TOR,6,28,23,5,14,14,3,3,5,9,14,1,3,5,0
277,Juancho Hernangómez,TOT,48,833,24,100,247,288,32,40,43,154,197,19,44,71,9
278,Juancho Hernangómez,DEN,34,422,24,38,110,107,18,22,24,71,95,5,16,25,5
279,Juancho Hernangómez,MIN,14,411,24,62,137,181,14,18,19,83,102,14,28,46,4
280,Willy Hernangómez,CHO,31,375,25,74,139,190,30,29,43,91,134,10,37,59,7
281,Tyler Herro,MIA,55,1508,20,270,631,743,87,121,16,208,224,34,87,100,9
282,Kevin Hervey,OKC,10,52,23,7,27,17,0,5,1,11,12,1,0,0,1
283,Mario Hezonja,POR,53,871,24,92,218,256,42,50,30,154,184,36,48,59,9
284,Buddy Hield,SAC,72,2216,27,498,1162,1382,168,213,57,271,328,66,115,136,17
285,George Hill,MIL,59,1271,33,194,376,554,57,180,50,127,177,47,85,101,5
286,Solomon Hill,TOT,59,1088,28,110,278,323,51,104,29,136,165,43,40,54,12
287,Solomon Hill,MEM,48,901,28,96,233,274,40,94,24,120,144,31,26,38,7
288,Solomon Hill,MIA,11,187,28,14,45,49,11,10,5,16,21,12,14,16,5
289,Jaylen Hoard,POR,13,103,20,15,32,38,4,4,14,18,32,5,8,13,0
290,Aaron Holiday,IND,66,1617,23,233,563,627,88,225,22,134,156,55,74,87,16
291,Jrue Holiday,NOP,61,2117,29,458,1006,1167,184,408,77,216,293,99,129,182,48
292,Justin Holiday,IND,73,1826,30,208,486,603,44,93,32,206,238,87,53,67,46
293,Rondae Hollis-Jefferson,TOR,60,1122,25,155,329,418,59,106,110,173,283,46,105,143,23
294,Richaun Holmes,SAC,44,1242,26,223,344,539,52,42,127,231,358,41,93,118,56
295,Rodney Hood,POR,21,619,27,87,172,230,19,32,10,62,72,17,21,27,4
296,Al Horford,PHI,67,2025,33,319,709,798,80,270,103,353,456,52,61,80,61
297,Talen Horton-Tucker,LAL,6,81,19,14,30,34,6,6,2,5,7,8,2,4,1
298,Danuel House Jr.,HOU,63,1913,26,230,539,662,54,85,57,210,267,67,73,90,34
299,Dwight Howard,LAL,69,1306,34,202,277,517,84,45,172,335,507,31,110,214,79
300,William Howard,HOU,2,13,26,0,4,0,1,1,0,2,2,0,0,0,0
301,Kevin Huerter,ATL,56,1760,21,252,610,684,87,213,35,193,228,51,53,64,27
302,De'Andre Hunter,ATL,63,2018,22,280,683,778,103,112,44,242,286,44,110,144,18
303,Chandler Hutchison,CHI,28,527,23,80,175,218,27,26,18,90,108,27,46,78,7
304,Serge Ibaka,TOR,55,1485,30,343,670,845,109,77,114,338,452,28,89,124,46
305,Andre Iguodala,MIA,21,418,36,38,88,96,26,51,17,61,78,14,6,15,21
306,Ersan İlyasova,MIL,63,986,32,146,313,414,34,49,62,240,302,24,72,87,17
307,Joe Ingles,UTA,72,2137,32,246,553,707,142,373,27,251,278,65,74,94,11
308,Brandon Ingram,NOP,62,2104,22,507,1096,1477,189,259,51,329,380,61,313,368,38
309,Kyrie Irving,BRK,20,658,27,199,416,548,52,128,22,81,103,27,94,102,10
310,Jonathan Isaac,ORL,34,980,22,156,332,404,49,48,58,173,231,53,60,77,78
311,Wes Iwundu,ORL,52,953,25,97,233,300,26,60,24,107,131,25,78,97,13
312,Frank Jackson,NOP,59,797,21,134,331,371,49,61,22,61,83,17,56,75,4
313,Jaren Jackson Jr.,MEM,57,1622,20,353,753,990,99,78,55,207,262,40,139,186,92
314,Josh Jackson,MEM,22,381,22,70,159,198,28,35,11,55,66,18,35,50,9
315,Justin Jackson,DAL,65,1045,24,135,341,360,14,52,27,127,154,15,42,50,10
316,Reggie Jackson,TOT,31,743,29,134,326,370,51,126,17,75,92,13,45,54,5
317,Reggie Jackson,DET,14,381,29,76,198,209,23,72,11,30,41,8,26,33,1
318,Reggie Jackson,LAC,17,362,29,58,128,161,28,54,6,45,51,5,19,21,4
319,Justin James,SAC,36,232,23,35,84,89,8,18,6,26,32,6,10,21,9
320,LeBron James,LAL,67,2316,35,643,1303,1698,261,684,66,459,525,78,264,381,36
321,Amile Jefferson,ORL,18,74,26,5,14,15,3,4,10,13,23,1,5,14,3
322,DaQuan Jeffries,SAC,13,141,22,20,40,50,2,7,3,15,18,4,5,6,1
323,Ty Jerome,PHO,31,328,22,38,113,102,18,44,7,39,46,15,12,16,3
324,Alize Johnson,IND,17,118,23,12,29,34,7,7,16,32,48,3,7,10,2
325,B.J. Johnson,ORL,10,83,24,9,32,30,6,3,3,12,15,3,9,10,0
326,Cameron Johnson,PHO,57,1255,23,176,405,504,32,69,49,138,187,36,46,57,20
327,James Johnson,TOT,32,619,32,103,215,270,48,74,25,93,118,25,31,48,32
328,James Johnson,MIA,18,281,32,39,87,102,15,21,8,44,52,6,8,14,13
329,James Johnson,MIN,14,338,32,64,128,168,33,53,17,49,66,19,23,34,19
330,Keldon Johnson,SAS,17,301,20,53,89,154,13,15,10,47,57,14,35,44,2
331,Stanley Johnson,TOR,25,150,23,22,59,60,15,20,7,30,37,6,9,16,4
332,Tyler Johnson,TOT,39,709,27,97,250,274,29,74,18,58,76,16,42,50,9
333,Tyler Johnson,PHO,31,515,27,65,171,178,24,50,10,42,52,12,24,32,8
334,Tyler Johnson,BRK,8,194,27,32,79,96,5,24,8,16,24,4,18,18,1
335,Nikola Jokić,DEN,73,2336,24,565,1071,1456,226,512,166,545,711,85,246,301,44
336,Damian Jones,ATL,55,887,24,121,178,306,28,35,74,132,206,26,62,84,40
337,Derrick Jones Jr.,MIA,59,1375,22,184,349,500,30,62,66,167,233,58,95,123,38
338,Tyus Jones,MEM,65,1232,23,197,429,484,55,285,9,94,103,59,43,58,6
339,DeAndre Jordan,BRK,56,1234,31,191,287,465,74,105,141,420,561,18,83,122,52
340,Cory Joseph,SAC,72,1759,28,171,412,458,80,251,44,144,188,53,60,70,21
341,Mfiondu Kabengele,LAC,12,64,22,14,32,42,2,2,1,10,11,2,5,5,2
342,Frank Kaminsky,PHO,39,777,26,138,307,378,37,75,35,141,176,14,61,90,10
343,Luke Kennard,DET,28,922,23,151,342,442,43,115,9,89,98,12,67,75,6
344,Stanton Kidd,UTA,4,15,27,0,3,0,2,1,0,3,3,0,0,0,0
345,Michael Kidd-Gilchrist,TOT,25,281,26,22,66,60,16,14,14,53,67,2,11,14,6
346,Michael Kidd-Gilchrist,CHO,12,160,26,18,53,48,7,10,9,26,35,0,7,9,3
347,Michael Kidd-Gilchrist,DAL,13,121,26,4,13,12,9,4,5,27,32,2,4,5,3
348,Louis King,DET,10,62,20,8,21,20,2,5,1,9,10,2,0,3,0
349,Maxi Kleber,DAL,74,1890,28,237,514,672,58,88,112,276,388,25,79,93,83
350,Brandon Knight,TOT,25,462,28,59,167,183,38,69,4,37,41,10,20,34,3
351,Brandon Knight,CLE,16,241,28,28,86,79,16,31,3,17,20,5,4,13,2
352,Brandon Knight,DET,9,221,28,31,81,104,22,38,1,20,21,5,16,21,1
353,Kevin Knox,NYK,65,1166,20,144,401,419,45,61,28,156,184,23,66,101,28
354,John Konchar,MEM,19,181,23,24,37,54,7,22,18,29,47,7,1,2,3
355,Furkan Korkmaz,PHI,72,1559,22,242,563,704,59,79,18,150,168,41,77,102,16
356,Luke Kornet,CHI,36,559,24,82,187,215,14,32,22,62,84,11,20,28,26
357,Kyle Korver,MIL,58,960,38,126,293,386,48,68,15,107,122,26,35,41,12
358,Rodions Kurucs,BRK,47,684,21,79,177,215,46,51,25,112,137,25,24,38,5
359,Kyle Kuzma,LAL,61,1526,24,291,668,782,91,80,52,221,273,28,114,155,26
360,Skal Labissière,POR,33,567,23,81,147,190,30,42,65,104,169,7,25,33,31
361,Jeremy Lamb,IND,46,1291,27,216,479,577,50,96,24,176,200,55,92,110,22
362,Romeo Langford,BOS,32,370,20,28,80,79,11,13,15,26,41,8,18,25,8
363,Zach LaVine,CHI,60,2085,24,539,1199,1530,206,254,41,248,289,88,268,334,28
364,Vic Law,ORL,8,62,24,6,18,15,2,3,2,9,11,2,2,6,0
365,Jake Layman,MIN,23,505,25,81,179,210,24,15,17,40,57,17,24,32,10
366,T.J. Leaf,IND,28,222,22,36,86,84,8,9,23,48,71,10,7,16,4
367,Jalen Lecque,PHO,5,32,19,4,10,10,2,2,0,2,2,0,2,2,0
368,Courtney Lee,DAL,24,345,34,40,82,107,11,12,7,25,32,18,6,7,6
369,Damion Lee,GSW,49,1423,27,213,511,621,67,133,32,207,239,50,110,126,6
370,Alex Len,TOT,55,970,26,177,319,438,55,50,100,221,321,23,68,105,48
371,Alex Len,ATL,40,745,26,142,260,349,39,42,69,161,230,20,51,81,33
372,Alex Len,SAC,15,225,26,35,59,89,16,8,31,60,91,3,17,24,15
373,Kawhi Leonard,LAC,57,1848,28,532,1133,1543,149,280,54,348,402,103,356,402,33
374,Meyers Leonard,MIA,51,1034,27,119,234,309,39,55,30,230,260,14,18,28,15
375,Caris LeVert,BRK,45,1330,25,311,732,842,118,199,49,140,189,53,140,197,10
376,Damian Lillard,POR,66,2474,29,624,1349,1978,194,530,33,251,284,70,460,518,22
377,Nassir Little,POR,48,573,19,65,151,172,15,22,31,77,108,13,28,44,14
378,Kevon Looney,GSW,20,262,23,29,79,68,12,20,28,38,66,12,9,12,6
379,Brook Lopez,MIL,68,1817,31,292,671,813,70,99,58,254,312,46,127,152,163
380,Robin Lopez,MIL,66,958,31,147,299,357,63,45,56,105,161,10,28,53,45
381,Kevin Love,CLE,56,1780,31,327,727,987,140,178,54,493,547,33,187,219,19
382,Kyle Lowry,TOR,58,2098,33,334,803,1126,178,433,32,260,292,82,294,343,26
383,Timothé Luwawu-Cabarrot,BRK,47,853,24,117,269,365,37,29,29,98,127,18,69,81,7
384,Trey Lyles,SAS,63,1271,24,153,343,404,39,69,71,290,361,28,33,45,28
385,Daryl Macon,MIA,4,14,24,1,3,3,2,1,0,0,0,0,0,0,0
386,J.P. Macura,CLE,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0
387,Josh Magette,ORL,8,38,30,5,15,12,5,5,1,5,6,3,1,2,1
388,Ian Mahinmi,WAS,38,808,33,104,210,283,45,49,78,140,218,31,70,113,44
389,Thon Maker,DET,60,776,22,93,193,281,45,43,54,113,167,25,73,110,39
390,Terance Mann,LAC,41,362,23,37,79,99,18,53,10,45,55,11,18,27,5
391,Boban Marjanović,DAL,44,422,31,121,211,289,30,20,66,131,197,8,43,57,10
392,Lauri Markkanen,CHI,50,1492,22,251,591,737,81,74,60,253,313,42,126,153,23
393,Caleb Martin,CHO,18,317,24,37,84,111,15,23,10,28,38,12,17,21,7
394,Cody Martin,CHO,48,903,24,89,207,238,44,95,38,120,158,39,42,65,9
395,Jeremiah Martin,BRK,9,99,23,24,53,64,4,18,1,9,10,7,11,14,2
396,Kelan Martin,MIN,31,495,24,71,181,197,20,23,12,84,96,7,30,31,9
397,Frank Mason III,MIL,9,118,25,23,51,62,11,29,5,14,19,5,10,17,1
398,Garrison Mathews,WAS,18,227,23,24,56,98,8,10,6,18,24,8,31,34,1
399,Wesley Matthews,MIL,67,1635,33,167,422,494,43,92,22,144,166,38,52,68,9
400,Luc Mbah a Moute,HOU,3,25,33,2,5,5,1,0,1,1,2,2,1,2,0
401,Patrick McCaw,TOR,37,908,24,67,162,170,29,79,19,67,86,39,13,18,4
402,CJ McCollum,POR,70,2556,28,611,1356,1556,127,310,46,251,297,54,140,185,42
403,T.J. McConnell,IND,71,1326,27,212,411,464,100,355,38,151,189,56,35,42,11
404,Jalen McDaniels,CHO,16,293,22,33,70,89,11,13,15,50,65,8,14,17,3
405,Doug McDermott,IND,69,1372,28,267,547,710,42,78,26,148,174,12,48,58,5
406,JaVale McGee,LAL,68,1130,32,195,306,446,55,37,125,265,390,36,53,82,94
407,Rodney McGruder,LAC,56,871,28,72,181,187,24,36,29,122,151,26,19,34,8
408,Alfonzo McKinnie,CLE,40,593,27,73,171,182,26,14,37,76,113,23,22,31,8
409,Jordan McLaughlin,MIN,30,590,23,87,178,229,31,125,7,42,49,34,26,39,4
410,Ben McLemore,HOU,71,1619,26,242,545,715,50,58,21,136,157,45,50,67,16
411,Jordan McRae,TOT,37,784,28,149,366,426,43,93,18,106,124,21,83,109,16
412,Jordan McRae,WAS,29,654,28,133,317,370,38,82,17,87,104,19,64,83,15
413,Jordan McRae,DEN,4,32,28,2,6,9,0,4,1,4,5,2,3,4,1
414,Jordan McRae,DET,4,98,28,14,43,47,5,7,0,15,15,0,16,22,0
415,Nicolò Melli,NOP,60,1042,29,136,323,395,46,82,38,142,180,34,54,73,23
416,De'Anthony Melton,MEM,60,1167,21,161,401,455,84,175,43,177,220,77,93,121,20
417,Chimezie Metu,SAS,18,105,22,24,42,58,10,10,12,21,33,3,10,13,6
418,Khris Middleton,MIL,62,1853,28,471,947,1297,137,265,44,338,382,53,208,227,7
419,Eric Mika,SAC,1,19,25,2,3,6,0,0,2,5,7,0,2,2,0
420,C.J. Miles,WAS,10,161,32,19,59,64,4,12,4,8,12,10,15,20,4
421,Malcolm Miller,TOR,28,162,26,12,29,35,4,11,2,14,16,5,3,8,2
422,Patty Mills,SAS,66,1485,31,258,598,767,54,118,22,86,108,53,97,112,6
423,Paul Millsap,DEN,51,1240,34,211,438,591,70,83,98,195,293,44,115,141,30
424,Shake Milton,PHI,40,805,23,134,277,377,47,104,15,73,88,20,51,65,7
425,Donovan Mitchell,UTA,69,2364,23,602,1342,1655,184,294,53,251,304,70,278,322,14
426,Naz Mitrou-Long,IND,5,47,26,6,17,14,3,8,0,7,7,1,0,0,1
427,Adam Mokoka,CHI,11,112,21,12,28,32,2,4,7,3,10,4,2,4,0
428,Malik Monk,CHO,55,1169,21,212,488,564,77,114,27,130,157,25,82,100,16
429,Matt Mooney,CLE,4,19,22,1,4,2,0,1,0,3,3,2,0,0,1
430,E'Twaun Moore,NOP,56,1020,30,186,437,466,40,78,31,100,131,32,31,45,11
431,Ja Morant,MEM,67,2074,20,447,937,1193,220,488,51,208,259,58,239,308,18
432,Juwan Morgan,UTA,21,134,22,15,26,36,6,6,10,19,29,1,3,4,2
433,Marcus Morris,TOT,62,1936,30,355,810,1033,97,86,59,252,311,47,181,220,30
434,Marcus Morris,NYK,43,1387,30,281,636,841,73,59,48,185,233,34,163,198,17
435,Marcus Morris,LAC,19,549,30,74,174,192,24,27,11,67,78,13,18,22,13
436,Markieff Morris,TOT,58,1187,30,203,458,560,76,77,40,178,218,31,66,85,17
437,Markieff Morris,DET,44,988,30,175,389,486,70,69,24,149,173,26,61,79,11
438,Markieff Morris,LAL,14,199,30,28,69,74,6,8,16,29,45,5,5,6,6
439,Monte Morris,DEN,73,1636,24,260,566,660,53,255,24,113,137,55,75,89,17
440,Johnathan Motley,LAC,13,41,24,11,15,28,5,8,3,7,10,3,5,7,0
441,Emmanuel Mudiay,UTA,54,850,23,151,327,395,76,116,18,108,126,24,63,83,10
442,Mychal Mulder,GSW,7,204,25,26,67,77,5,8,3,20,23,2,9,12,1
443,Dejounte Murray,SAS,66,1687,23,294,637,720,125,271,69,314,383,111,91,114,17
444,Jamal Murray,DEN,59,1904,22,408,894,1091,127,284,45,191,236,67,163,185,17
445,Džanan Musa,BRK,40,487,20,64,172,192,36,43,21,65,86,15,45,60,1
446,Mike Muscala,OKC,47,572,28,77,189,226,17,40,16,92,108,9,18,22,12
447,Svi Mykhailiuk,DET,56,1265,22,166,405,504,61,106,17,87,104,41,57,70,4
448,Abdel Nader,OKC,55,867,26,123,263,345,43,38,14,86,100,23,51,66,20
449,Larry Nance Jr.,CLE,56,1472,27,229,431,564,60,123,106,303,409,56,50,74,22
450,Shabazz Napier,TOT,56,1344,28,188,456,578,128,262,26,132,158,69,126,153,11
451,Shabazz Napier,MIN,36,856,28,114,283,347,76,187,17,93,110,40,72,88,7
452,Shabazz Napier,WAS,20,488,28,74,173,231,52,75,9,39,48,29,54,65,4
453,Raul Neto,PHI,54,668,27,101,222,275,47,95,11,50,61,24,39,47,6
454,Malik Newman,CLE,1,4,22,0,2,2,1,0,0,0,0,0,2,2,0
455,Georges Niang,UTA,66,923,26,141,322,392,30,44,15,112,127,18,20,24,5
456,Joakim Noah,LAC,5,50,34,4,8,14,6,7,5,11,16,1,6,8,1
457,Nerlens Noel,OKC,61,1127,25,184,269,449,66,57,91,209,300,59,80,106,91
458,Zach Norvell,TOT,5,41,22,3,12,10,3,3,0,6,6,2,1,1,0
459,Zach Norvell,LAL,2,5,22,0,1,0,0,0,0,1,1,0,0,0,0
460,Zach Norvell,GSW,3,36,22,3,11,10,3,3,0,5,5,2,1,1,0
461,Jaylen Nowell,MIN,15,151,20,19,53,57,3,19,3,10,13,3,16,17,1
462,Frank Ntilikina,NYK,57,1187,21,131,333,357,71,172,23,98,121,54,51,59,16
463,Kendrick Nunn,MIA,67,1962,24,401,914,1024,114,220,21,159,180,56,85,100,15
464,Jusuf Nurkić,POR,8,253,25,54,109,141,19,32,23,59,82,11,31,35,16
465,David Nwaba,BRK,20,268,27,37,71,104,8,8,8,37,45,11,18,27,12
466,Royce O'Neale,UTA,71,2049,26,158,365,450,61,180,27,362,389,59,42,55,32
467,Kyle O'Quinn,PHI,29,313,29,42,85,102,20,51,34,82,116,7,11,20,24
468,Semi Ojeleye,BOS,69,1011,25,80,196,236,19,37,26,119,145,21,28,32,5
469,Jahlil Okafor,NOP,30,467,24,101,162,243,38,37,48,79,127,7,40,62,22
470,Elie Okobo,PHO,55,719,22,72,181,219,38,115,16,74,90,24,50,71,4
471,Josh Okogie,MIN,62,1547,21,170,398,533,87,99,87,181,268,68,152,191,26
472,KZ Okpala,MIA,5,26,20,3,5,7,1,1,1,4,5,2,1,2,1
473,Victor Oladipo,IND,19,528,27,97,246,275,47,56,9,66,75,17,48,59,4
474,Kelly Olynyk,MIA,67,1300,28,184,398,549,71,116,44,261,305,45,86,100,23
475,Miye Oni,UTA,10,109,22,12,32,35,4,4,5,12,17,4,4,5,2
476,Cedi Osman,CLE,65,1910,24,266,609,718,91,154,39,192,231,54,63,94,16
477,Kelly Oubre Jr.,PHO,56,1933,24,373,826,1046,83,85,67,294,361,71,192,246,40
478,Tariq Owens,PHO,3,15,24,1,5,4,0,0,2,1,3,1,2,2,0
479,Jeremy Pargo,GSW,3,44,33,11,22,25,4,8,1,2,3,1,0,1,0
480,Jabari Parker,TOT,38,917,24,219,429,531,64,68,61,153,214,45,61,81,16
481,Jabari Parker,ATL,32,837,24,198,393,480,60,58,54,137,191,42,53,72,15
482,Jabari Parker,SAC,6,80,24,21,36,51,4,10,7,16,23,3,8,9,1
483,Chandler Parsons,ATL,5,54,31,5,18,14,3,3,1,6,7,4,0,0,1
484,Eric Paschall,GSW,60,1654,23,318,640,837,94,127,82,193,275,32,164,212,13
485,Anžejs Pasečņiks,WAS,27,437,24,61,116,156,24,18,42,65,107,9,34,58,12
486,Patrick Patterson,LAC,59,776,30,95,233,292,21,41,35,116,151,7,35,43,3
487,Justin Patton,OKC,5,24,22,4,10,9,2,2,1,4,5,0,0,0,0
488,Chris Paul,OKC,70,2208,34,434,887,1232,161,472,26,323,349,111,253,279,11
489,Cameron Payne,PHO,8,183,25,33,68,87,11,24,4,27,31,8,6,7,2
490,Elfrid Payton,NYK,45,1246,25,193,440,449,96,323,52,160,212,70,49,86,17
491,Gary Payton II,WAS,29,432,27,48,116,113,20,48,26,54,80,33,4,8,7
492,Norvel Pelle,PHI,24,232,26,25,48,57,18,8,20,52,72,3,7,14,31
493,Theo Pinson,BRK,33,365,24,45,155,120,33,56,10,44,54,17,15,16,4
494,Mason Plumlee,DEN,61,1057,29,177,288,437,82,154,98,219,317,33,83,155,38
495,Jakob Poeltl,SAS,66,1171,24,166,266,372,54,116,131,244,375,37,40,86,95
496,Vincent Poirier,BOS,22,130,26,17,36,41,8,8,13,30,43,2,6,7,9
497,Shamorie Ponds,TOR,4,11,21,3,5,9,0,2,0,1,1,0,2,2,1
498,Jordan Poole,GSW,57,1274,20,167,502,503,74,134,9,109,118,35,95,119,10
499,Kevin Porter Jr.,CLE,50,1162,19,186,421,498,93,109,22,140,162,46,73,101,14
500,Michael Porter Jr.,DEN,55,903,21,195,383,512,49,46,66,193,259,27,60,72,25
501,Otto Porter Jr.,CHI,14,331,26,62,140,167,11,25,13,35,48,15,19,27,6
502,Bobby Portis,NYK,66,1393,24,265,589,668,73,98,80,258,338,32,71,93,18
503,Kristaps Porziņģis,DAL,57,1814,24,398,932,1164,92,102,100,440,540,41,226,283,115
504,Dwight Powell,DAL,40,1061,28,146,229,376,36,59,75,152,227,34,74,111,22
505,Norman Powell,TOR,52,1479,26,296,598,830,77,91,26,164,190,60,129,153,21
506,Taurean Prince,BRK,64,1857,25,278,739,773,127,116,50,331,381,57,71,89,25
507,Chasson Randle,GSW,3,40,26,0,4,5,0,5,0,2,2,2,5,6,0
508,Julius Randle,NYK,64,2080,25,463,1006,1248,193,198,151,471,622,51,258,352,22
509,Josh Reaves,DAL,4,28,22,3,9,8,0,3,1,2,3,0,2,2,0
510,Cam Reddish,ATL,58,1551,20,213,554,610,96,87,35,181,216,62,101,126,28
511,J.J. Redick,NOP,60,1581,35,286,631,917,75,119,10,141,151,20,165,185,10
512,Naz Reid,MIN,30,495,20,100,243,269,22,35,34,90,124,19,37,53,22
513,Josh Richardson,PHI,55,1693,26,278,646,755,104,162,41,133,174,52,114,141,36
514,Austin Rivers,HOU,68,1594,27,211,501,596,50,113,27,148,175,49,78,111,10
515,Andre Roberson,OKC,7,87,28,8,29,20,2,4,7,20,27,1,1,2,3
516,Duncan Robinson,MIA,73,2166,25,323,687,983,70,102,10,222,232,35,67,72,19
517,Glenn Robinson III,TOT,62,1786,26,288,592,727,55,96,81,189,270,54,74,86,16
518,Glenn Robinson III,GSW,48,1516,26,244,507,619,50,85,66,160,226,45,63,74,14
519,Glenn Robinson III,PHI,14,270,26,44,85,108,5,11,15,29,44,9,11,12,2
520,Jerome Robinson,TOT,63,979,22,115,310,319,49,87,13,116,129,28,40,57,17
521,Jerome Robinson,LAC,42,476,22,46,136,122,26,46,5,55,60,13,11,19,8
522,Jerome Robinson,WAS,21,503,22,69,174,197,23,41,8,61,69,15,29,38,9
523,Justin Robinson,WAS,9,49,22,5,12,13,3,7,1,4,5,0,0,0,1
524,Mitchell Robinson,NYK,61,1412,21,253,341,590,37,36,186,242,428,52,84,148,119
525,Isaiah Roby,OKC,3,11,21,0,1,0,1,0,0,2,2,0,0,0,0
526,Rajon Rondo,LAL,48,984,33,137,328,342,91,240,23,119,142,40,27,41,2
527,Derrick Rose,DET,50,1298,31,369,753,904,126,278,27,94,121,40,121,139,16
528,Terrence Ross,ORL,69,1889,28,341,846,1016,70,82,13,209,222,77,157,184,24
529,Terry Rozier,CHO,63,2164,25,398,941,1134,141,259,50,226,276,61,166,190,10
530,Ricky Rubio,PHO,65,2016,29,287,692,847,173,570,46,258,304,94,195,226,11
