,Player,Salary
0,Chandler Parsons,"25,102,511"
1,Jeff Teague,"19,000,000"
2,Clint Capela,"14,896,552"
3,Dewayne Dedmon,"13,333,334"
4,De'Andre Hunter,"7,068,360"
5,Trae Young,"6,273,000"
6,Cam Reddish,"4,245,720"
7,John Collins,"2,686,560"
8,Kevin Huerter,"2,636,280"
9,DeAndre' Bembry,"2,603,982"
10,Nenê,"2,564,753"
11,Vince Carter,"2,564,753"
12,Skal Labissière,"2,338,847"
13,Damian Jones,"2,305,057"
14,Treveon Graham,"1,645,357"
15,Derrick Walton,"1,445,697"
16,Bruno Fernando,"1,400,000"
17,Brandon Goodwin,"522,738"
18,Tyrone Wallace,"502,491"
19,Jaylen Adams,"100,000"
20,Paul Watson,"50,752"
21,Charlie Brown,0
22,Kevin Durant,"37,199,000"
23,Kyrie Irving,"31,742,000"
24,Spencer Dinwiddie,"10,605,600"
25,DeAndre Jordan,"9,881,598"
26,Joe Harris,"7,666,667"
27,Deron Williams,"5,474,787"
28,Garrett Temple,"4,767,000"
29,Taurean Prince,"3,481,986"
30,Caris LeVert,"2,625,718"
31,Wilson Chandler,"2,564,753"
32,Jarrett Allen,"2,376,840"
33,Džanan Musa,"1,911,600"
34,Rodions Kurucs,"1,699,236"
35,David Nwaba,"1,678,854"
36,Nicolas Claxton,"898,310"
37,Timothé Luwawu-Cabarrot,"844,170"
38,Iman Shumpert,"419,443"
39,Justin Anderson,"294,432"
40,Jamal Crawford,"289,803"
41,Lance Thomas,"262,152"
42,Tyler Johnson,"212,753"
43,Donta Hall,"101,504"
44,Jeremiah Martin,0
45,Chris Chiozza,0
46,Kemba Walker,"32,742,000"
47,Gordon Hayward,"32,700,690"
48,Marcus Smart,"12,053,471"
49,Jayson Tatum,"7,830,000"
50,Jaylen Brown,"6,534,829"
51,Daniel Theis,"5,000,000"
52,Enes Kanter,"4,767,000"
53,Romeo Langford,"3,458,400"
54,Vincent Poirier,"2,505,793"
55,Grant Williams,"2,379,840"
56,Robert Williams,"1,937,520"
57,Semi Ojeleye,"1,618,520"
58,Brad Wanamaker,"1,445,697"
59,Carsen Edwards,"1,228,026"
60,Guerschon Yabusele,"1,039,080"
61,Javonte Green,"898,310"
62,Max Strus,"415,414"
63,Demetrius Jackson,"92,857"
64,Tremont Waters,0
65,Tacko Fall,0
66,Nicolas Batum,"25,565,217"
67,Terry Rozier,"19,894,737"
68,Bismack Biyombo,"17,000,000"
69,Cody Zeller,"14,471,910"
70,Marvin Williams,"14,049,901"
71,Michael Kidd-Gilchrist,"12,189,237"
72,Malik Monk,"4,028,400"
73,P.J. Washington,"3,831,840"
74,Miles Bridges,"3,755,400"
75,Willy Hernangómez,"1,676,735"
76,Dwayne Bacon,"1,618,520"
77,Devonte' Graham,"1,416,852"
78,Cody Martin,"1,173,310"
79,Caleb Martin,"898,310"
80,Jalen McDaniels,"898,310"
81,Joe Chealey,"163,356"
82,Kobi Simmons,0
83,Ray Spalding,0
84,Otto Porter,"27,250,576"
85,Zach LaVine,"19,500,000"
86,Thaddeus Young,"12,900,000"
87,Tomáš Satoranský,"10,000,000"
88,Cristiano Felício,"8,156,500"
89,Kris Dunn,"5,348,007"
90,Coby White,"5,307,120"
91,Lauri Markkanen,"5,300,400"
92,Wendell Carter Jr.,"5,201,400"
93,Denzel Valentine,"3,377,569"
94,Ömer Aşık,"3,000,000"
95,Ryan Arcidiacono,"3,000,000"
96,Chandler Hutchison,"2,332,320"
97,Luke Kornet,"2,250,000"
98,Antonio Blakeney,"1,488,231"
99,Shaquille Harrison,"898,310"
100,Daniel Gafford,"898,310"
101,Adam Mokoka,0
102,Max Strus,0
103,Kevin Love,"28,942,830"
104,Andre Drummond,"27,093,019"
105,Tristan Thompson,"18,539,130"
106,Larry Nance Jr.,"12,727,273"
107,Matthew Dellavedova,"9,607,500"
108,Dante Exum,"9,100,000"
109,Darius Garland,"6,400,920"
110,Collin Sexton,"4,764,960"
111,Cedi Osman,"2,907,143"
112,Alfonzo McKinnie,"2,391,985"
113,Ante Žižić,"2,281,800"
114,Dylan Windler,"2,035,800"
115,J.R. Smith,"1,456,667"
116,Kevin Porter Jr.,"1,290,960"
117,Dean Wade,"375,000"
118,Jordan Bell,"250,000"
119,Tyler Cook,"151,504"
120,J.P. Macura,"106,184"
121,Sheldon Mac,"91,557"
122,Malik Newman,"65,978"
123,Marques Bolden,"50,752"
124,Sir'Dominic Pointer,"50,752"
125,Matt Mooney,0
126,Kristaps Porziņģis,"27,285,000"
127,Tim Hardaway Jr.,"18,150,000"
128,Courtney Lee,"12,759,670"
129,Dwight Powell,"10,259,375"
130,Delon Wright,"9,473,684"
131,Maxi Kleber,"7,900,000"
132,Luka Dončić,"7,683,360"
133,Seth Curry,"7,461,380"
134,Dorian Finney-Smith,"4,000,000"
135,Boban Marjanović,"3,500,000"
136,Justin Jackson,"3,280,920"
137,J.J. Barea,"2,564,753"
138,Willie Cauley-Stein,"2,177,483"
139,Justin Patton,"1,620,564"
140,Jalen Brunson,"1,416,852"
141,Ryan Broekhoff,"1,416,852"
142,Michael Kidd-Gilchrist,"810,763"
143,Trey Burke,"229,220"
144,Antonius Cleveland,0
145,Josh Reaves,0
146,Paul Millsap,"30,000,000"
147,Nikola Jokić,"26,573,594"
148,Gary Harris,"17,839,286"
149,Mason Plumlee,"14,041,096"
150,Will Barton,"12,776,786"
151,Jerami Grant,"9,346,153"
152,Jamal Murray,"4,444,746"
153,Michael Porter Jr.,"3,389,400"
154,Gerald Green,"2,564,753"
155,Noah Vonleh,"2,000,000"
156,Torrey Craig,"2,000,000"
157,Monte Morris,"1,588,231"
158,Keita Bates-Diop,"1,416,852"
159,Vlatko Čančar,"898,310"
160,Troy Daniels,"481,000"
161,PJ Dozier,"183,115"
162,Tyler Cook,0
163,Bol Bol,0
164,Blake Griffin,"34,234,964"
165,Reggie Jackson,"17,286,956"
166,Brandon Knight,"15,643,750"
167,Tony Snell,"11,392,857"
168,John Henson,"9,732,396"
169,Langston Galloway,"7,333,333"
170,Derrick Rose,"7,317,073"
171,Josh Smith,"5,331,729"
172,Luke Kennard,"3,827,160"
173,Thon Maker,"3,569,643"
174,Sekou Doumbouya,"3,285,120"
175,Markieff Morris,"2,241,808"
176,Tim Frazier,"1,882,867"
177,Christian Wood,"1,645,357"
178,Jordan McRae,"1,645,357"
179,Sviatoslav Mykhailiuk,"1,416,852"
180,Bruce Brown,"1,416,852"
181,Khyri Thomas,"1,416,852"
182,Joe Johnson,"220,000"
183,Justin Patton,"183,115"
184,Donta Hall,"101,504"
185,Derrick Walton,"81,678"
186,Louis King,0
187,Jordan Bone,0
188,Stephen Curry,"40,231,758"
189,Klay Thompson,"32,742,000"
190,Andrew Wiggins,"27,504,630"
191,Draymond Green,"18,539,130"
192,Kevon Looney,"4,464,286"
193,Jordan Poole,"1,964,760"
194,Marquese Chriss,"1,413,272"
195,Alen Smailagić,"898,310"
196,Eric Paschall,"898,310"
197,Damion Lee,"842,327"
198,Shaun Livingston,"666,667"
199,Ky Bowman,"350,189"
200,Juan Toscano-Anderson,"350,189"
201,Mychal Mulder,"238,534"
202,Dragan Bender,"189,702"
203,Chasson Randle,"91,557"
204,Jeremy Pargo,"91,557"
205,Zach Norvell,"50,752"
206,Russell Westbrook,"38,506,482"
207,James Harden,"38,199,000"
208,Eric Gordon,"14,057,730"
209,Robert Covington,"11,301,219"
210,P.J. Tucker,"8,349,039"
211,Danuel House,"3,540,000"
212,Thabo Sefolosha,"2,564,753"
213,Tyson Chandler,"2,564,753"
214,Austin Rivers,"2,174,318"
215,Ben McLemore,"2,028,594"
216,Bruno Caboclo,"1,845,301"
217,Isaiah Hartenstein,"1,416,852"
218,David Nwaba,"903,111"
219,Jeff Green,"840,427"
