,Player,Salary
177,George King,"85,578"
178,Carlik Jones,"53,176"
179,Jamal Murray,"31,590,000"
180,Nikola Jokić,"30,510,423"
181,Aaron Gordon,"16,409,091"
182,Will Barton,"15,384,615"
183,Monte Morris,"8,333,333"
184,JaMychal Green,"8,292,683"
185,Michael Porter Jr.,"5,258,735"
186,Bryn Forbes,"4,500,000"
187,Jeff Green,"4,500,000"
188,Facundo Campazzo,"3,804,150"
189,Zeke Nnaji,"2,498,760"
190,Austin Rivers,"2,401,537"
191,Bones Hyland,"2,096,880"
192,Vlatko Čančar,"1,782,621"
193,DeMarcus Cousins,"683,196"
194,DeMarcus Cousins,"151,821"
195,DeMarcus Cousins,"151,821"
196,DeMarcus Cousins,"151,821"
197,James Ennis III,"128,709"
198,Davon Reed,"95,930"
199,Davon Reed,"95,930"
200,Rayjon Tucker,"95,930"
201,Davon Reed,"94,304"
202,Carlik Jones,"53,176"
203,Blake Griffin,"29,764,126"
204,Jerami Grant,"20,000,000"
205,Kelly Olynyk,"12,195,122"
206,Marvin Bagley III,"11,312,114"
207,Cade Cunningham,"10,050,120"
208,DeAndre Jordan,"7,875,533"
209,Killian Hayes,"5,572,680"
210,Hamidou Diallo,"5,200,000"
211,Cory Joseph,"4,910,000"
212,Isaiah Stewart,"3,277,080"
213,Frank Jackson,"3,000,000"
214,Dewayne Dedmon,"2,866,667"
215,Saddiq Bey,"2,824,320"
216,Cory Joseph,"2,400,000"
217,Rodney McGruder,"1,939,350"
218,Deividas Sirvydis,"1,517,981"
219,Saben Lee,"1,489,065"
220,Isaiah Livers,"1,057,260"
221,Luka Garza,"925,258"
222,Anthony Tarke,"925,258"
223,Cheick Diallo,"102,831"
224,Derrick Walton,"95,930"
225,Justin Robinson,"95,930"
226,Cassius Stanley,"85,578"
227,Deividas Sirvydis,"85,578"
228,Cassius Stanley,"85,578"
229,Cassius Stanley,"85,578"
230,Carsen Edwards,"76,744"
231,Micah Potter,"53,176"
232,Trayvon Palmer,"53,176"
233,Jaysean Paige,"53,176"
234,Braxton Key,"53,176"
235,Stephen Curry,"45,780,966"
236,Klay Thompson,"37,980,720"
237,Andrew Wiggins,"31,579,390"
238,Draymond Green,"24,026,712"
239,James Wiseman,"9,166,800"
240,Jonathan Kuminga,"5,466,360"
241,Kevon Looney,"5,178,572"
242,Moses Moody,"3,562,080"
243,Andre Iguodala,"2,641,691"
244,Otto Porter Jr.,"2,389,641"
245,Jordan Poole,"2,161,440"
246,Nemanja Bjelica,"2,089,448"
247,Gary Payton II,"1,939,350"
248,Damion Lee,"1,910,860"
249,Juan Toscano-Anderson,"1,701,593"
250,Shaun Livingston,"666,666"
251,Quinndary Weatherspoon,"95,930"
252,John Wall,"44,310,840"
253,Eric Gordon,"18,218,818"
254,Christian Wood,"13,666,667"
255,Jalen Green,"8,992,200"
256,D.J. Augustin,"7,000,000"
257,Dennis Schröder,"5,890,000"
258,David Nwaba,"4,650,000"
259,Sekou Doumbouya,"3,613,680"
260,Alperen Şengün,"3,214,680"
261,Enes Freedom,"2,641,691"
262,Usman Garuba,"2,353,320"
263,Josh Christopher,"2,259,240"
264,Kevin Porter Jr.,"2,130,240"
265,Bruno Fernando,"1,782,621"
266,Kenyon Martin Jr.,"1,517,981"
267,Jae'Sean Tate,"1,517,981"
268,Armoni Brooks,"1,489,065"
269,Danuel House Jr.,"1,387,498"
270,Garrison Mathews,"1,093,598"
271,Daishen Nix,"292,466"
272,Troy Williams,"122,741"
273,DeJon Jarreau,"53,176"
274,Mfiondu Kabengele,"19,186"
275,Buddy Hield,"22,477,273"
276,Malcolm Brogdon,"21,700,000"
277,Myles Turner,"18,000,000"
278,Ricky Rubio,"17,809,524"
279,T.J. Warren,"12,690,000"
280,Tristan Thompson,"9,720,900"
281,T.J. McConnell,"7,500,000"
282,Jalen Smith,"4,458,000"
283,Tyrese Haliburton,"4,023,600"
284,Chris Duarte,"3,749,520"
285,Goga Bitadze,"3,098,400"
286,Isaiah Jackson,"2,451,120"
287,Monta Ellis,"2,245,400"
288,Oshae Brissett,"1,701,593"
289,Lance Stephenson,"924,730"
290,Brad Wanamaker,"705,598"
291,Keifer Sykes,"558,345"
292,Lance Stephenson,"138,019"
293,Lance Stephenson,"138,019"
294,Lance Stephenson,"138,019"
295,Lance Stephenson,"138,019"
296,Justin Anderson,"111,457"
297,Justin Anderson,"111,457"
298,Justin Anderson,"111,457"
299,Nate Hinton,"85,578"
300,Reggie Perry,"85,578"
301,Ahmad Caver,"53,176"
302,Terry Taylor,"21,270"
303,Duane Washington Jr.,"21,270"
304,Paul George,"39,344,970"
305,Kawhi Leonard,"39,344,900"
306,Marcus Morris,"15,627,907"
307,Norman Powell,"15,517,242"
308,Robert Covington,"12,975,471"
309,Luke Kennard,"12,727,273"
310,Reggie Jackson,"10,384,500"
311,Ivica Zubac,"7,518,518"
312,Nicolas Batum,"3,170,029"
313,Rodney Hood,"2,239,544"
314,Semi Ojeleye,"1,789,256"
315,Terance Mann,"1,782,621"
316,Isaiah Hartenstein,"1,729,217"
317,Jason Preston,"1,062,303"
318,Brandon Boston Jr.,"925,258"
319,Amir Coffey,"153,488"
320,James Ennis III,"128,709"
321,Wenyen Gabriel,"99,380"
322,Wenyen Gabriel,"99,380"
323,Moses Wright,"53,176"
324,Xavier Moon,"53,176"
325,Xavier Moon,"53,176"
326,Xavier Moon,"53,176"
327,Russell Westbrook,"44,211,146"
328,LeBron James,"41,180,544"
329,Anthony Davis,"35,361,360"
330,Talen Horton-Tucker,"9,500,000"
331,Kendrick Nunn,"5,000,000"
332,Luol Deng,"4,990,000"
333,Dwight Howard,"2,641,691"
334,Avery Bradley,"2,641,691"
335,DeAndre Jordan,"2,641,691"
336,Wayne Ellington,"2,641,691"
337,Trevor Ariza,"2,641,691"
338,Carmelo Anthony,"2,641,691"
339,Kent Bazemore,"2,401,537"
340,Malik Monk,"1,789,256"
341,Austin Reaves,"925,258"
342,Stanley Johnson,"888,616"
343,D.J. Augustin,"622,467"
344,Darren Collison,"151,821"
345,Isaiah Thomas,"135,680"
346,Stanley Johnson,"120,083"
347,Stanley Johnson,"120,083"
348,Stanley Johnson,"120,083"
349,Jemerrio Jones,"85,578"
350,Wenyen Gabriel,"29,814"
351,Steven Adams,"17,073,171"
352,Dillon Brooks,"12,200,000"
353,Kyle Anderson,"9,937,150"
354,Ja Morant,"9,603,360"
355,Jaren Jackson Jr.,"9,180,560"
356,De'Anthony Melton,"8,437,500"
357,Tyus Jones,"7,522,200"
358,Jarrett Culver,"6,395,160"
359,Kris Dunn,"5,005,350"
360,Rajon Rondo,"4,858,309"
361,Ziaire Williams,"4,373,160"
362,Brandon Clarke,"2,726,880"
363,Marc Gasol,"2,692,991"
364,John Konchar,"2,197,674"
365,Desmond Bane,"2,033,160"
366,Killian Tillie,"2,000,000"
367,Santi Aldama,"1,994,520"
368,Carsen Edwards,"1,782,621"
369,Xavier Tillman Sr.,"1,517,981"
370,Daniel Oturu,"1,517,981"
371,Sam Merrill,"663,024"
372,Jontay Porter,"300,000"
373,Shaquille Harrison,"102,831"
374,DaQuan Jeffries,"95,930"
375,Tyrell Terry,"85,578"
376,Shaq Buchanan,"53,176"
377,Xavier Sneed,"53,176"
378,Dakota Mathias,"53,176"
379,Jon Teske,"53,176"
380,Dakota Mathias,"53,176"
381,Jimmy Butler,"36,016,200"
382,Bam Adebayo,"28,103,550"
383,Kyle Lowry,"26,984,128"
384,Duncan Robinson,"15,560,000"
385,P.J. Tucker,"7,000,000"
386,Ryan Anderson,"5,214,584"
387,Tyler Herro,"4,004,280"
388,Markieff Morris,"2,641,691"
389,Udonis Haslem,"2,641,691"
390,Dewayne Dedmon,"2,389,641"
391,Victor Oladipo,"2,389,641"
392,Gabe Vincent,"1,669,178"
393,Max Strus,"1,669,178"
394,Omer Yurtseven,"1,489,065"
395,Caleb Martin,"527,614"
396,Haywood Highsmith,"290,967"
397,Mario Chalmers,"138,019"
398,Nik Stauskas,"111,457"
399,Chris Silva,"95,930"
400,Chris Silva,"95,930"
401,Kyle Guy,"95,930"
402,Chris Silva,"95,930"
403,Chris Silva,"95,930"
404,Kyle Guy,"95,930"
405,Haywood Highsmith,"85,578"
406,Haywood Highsmith,"85,578"
407,Haywood Highsmith,"85,578"
408,Zylan Cheatham,"85,578"
409,Aric Holman,"53,176"
410,Giannis Antetokounmpo,"39,344,970"
411,Khris Middleton,"35,500,000"
412,Jrue Holiday,"30,133,333"
413,Brook Lopez,"13,302,325"
414,Serge Ibaka,"9,742,000"
415,Pat Connaughton,"5,333,333"
416,Bobby Portis,"4,347,600"
417,Grayson Allen,"4,054,695"
418,George Hill,"4,000,000"
419,Jon Leuer,"3,169,347"
420,Wesley Matthews,"1,958,501"
421,Larry Sanders,"1,865,547"
422,Thanasis Antetokounmpo,"1,729,217"
423,Jordan Nwora,"1,517,981"
424,DeMarcus Cousins,"607,285"
425,DeAndre' Bembry,"601,867"
426,Georgios Kalaitzakis,"462,629"
427,Jevon Carter,"457,149"
428,Greg Monroe,"138,019"
429,Langston Galloway,"128,709"
430,Luke Kornet,"102,831"
431,Jeff Dowtin,"53,176"
432,Javin DeLaurier,"53,176"
433,Luca Vildoza,"51,347"
434,Rayjon Tucker,"28,779"
435,Karl-Anthony Towns,"31,610,000"
436,D'Angelo Russell,"30,013,500"
437,Taurean Prince,"15,057,692"
438,Malik Beasley,"14,391,964"
439,Patrick Beverley,"14,320,988"
440,Anthony Edwards,"10,245,480"
441,Jarred Vanderbilt,"4,259,259"
442,Josh Okogie,"4,087,904"
443,Jake Layman,"3,940,184"
444,Leandro Bolmaro,"2,353,320"
445,Jaden McDaniels,"2,063,280"
446,Naz Reid,"1,782,621"
447,Jaylen Nowell,"1,782,621"
448,Jordan McLaughlin,"1,669,178"
449,Greg Monroe,"138,019"
450,Rayjon Tucker,"95,930"
451,Chris Silva,"95,930"
452,Greg Monroe,"55,208"
453,CJ McCollum,"30,864,198"
454,Brandon Ingram,"29,467,800"
455,Jonas Valančiūnas,"14,000,000"
456,Devonte' Graham,"11,000,000"
457,Zion Williamson,"10,733,400"
458,Larry Nance Jr.,"10,690,909"
459,Jaxson Hayes,"5,348,280"
460,Garrett Temple,"4,910,000"
461,Kira Lewis Jr.,"3,822,240"
462,Trey Murphy III,"3,053,760"
463,Tony Snell,"2,389,641"
464,Willy Hernangómez,"2,327,220"
465,Herbert Jones,"1,700,000"
466,Naji Marshall,"1,517,981"
467,Jose Alvarado,"1,500,000"
468,Gary Clark,"377,645"
469,Wenyen Gabriel,"99,380"
470,Alize Johnson,"99,380"
471,Alize Johnson,"99,380"
472,Jared Harper,"95,930"
473,Justin James,"95,930"
474,Miye Oni,"95,930"
475,Tyrone Wallace,"95,930"
476,Zylan Cheatham,"89,057"
477,Feron Hunt,"53,176"
478,Craig Sword,"53,176"
479,Julius Randle,"19,800,000"
480,Evan Fournier,"18,139,535"
481,Derrick Rose,"13,445,120"
482,Alec Burks,"9,536,000"
483,Nerlens Noel,"8,800,000"
484,Kemba Walker,"8,729,020"
485,RJ Barrett,"8,623,920"
486,Joakim Noah,"6,431,666"
487,Obi Toppin,"5,105,160"
488,Taj Gibson,"4,910,000"
489,Cam Reddish,"4,670,160"
490,Solomon Hill,"2,389,641"
491,Immanuel Quickley,"2,210,640"
492,Quentin Grimes,"2,168,760"
493,Mitchell Robinson,"1,802,057"
494,Miles McBride,"925,258"
495,Denzel Valentine,"891,655"
496,Wayne Selden,"785,102"
497,Ryan Arcidiacono,"586,136"
498,Danuel House Jr.,"111,457"
499,Damyean Dotson,"102,831"
500,Damyean Dotson,"102,831"
501,Ryan Arcidiacono,"102,831"
502,Ryan Arcidiacono,"102,831"
503,Matt Mooney,"85,578"
