Player name,Team,Position,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
Precious Achiuwa,TOR,C,73,1725,22,265,603,664,84,82,146,327,473,37,78,131,41
Steven Adams,MEM,C,76,1999,28,210,384,528,115,256,349,411,760,65,108,199,60
Bam Adebayo,MIA,C,56,1825,24,406,729,1068,148,190,137,427,564,80,256,340,44
Santi Aldama,MEM,PF,32,360,21,53,132,132,16,21,33,54,87,6,20,32,10
LaMarcus Aldridge,BRK,C,47,1050,36,252,458,607,44,42,73,185,258,14,89,102,47
Nickeil Alexander-Walker,TOT,SG,65,1466,23,253,680,692,93,156,37,150,187,46,81,109,23
Nickeil Alexander-Walker,NOP,SG,50,1317,23,237,632,639,85,139,36,128,164,41,70,97,19
Nickeil Alexander-Walker,UTA,SG,15,149,23,16,48,53,8,17,1,22,23,5,11,12,4
Grayson Allen,MIL,SG,66,1805,26,255,569,733,43,100,32,190,222,46,64,74,18
Jarrett Allen,CLE,C,56,1809,23,369,545,904,94,92,192,410,602,44,165,233,75
Jose Alvarado,NOP,PG,54,834,23,131,294,330,40,152,25,75,100,71,36,53,7
Justin Anderson,TOT,SF,16,316,28,36,95,102,8,33,4,42,46,8,15,19,6
Justin Anderson,CLE,SF,3,47,28,4,8,13,2,6,0,6,6,1,3,4,0
Justin Anderson,IND,SF,13,269,28,32,87,89,6,27,4,36,40,7,12,15,6
Kyle Anderson,MEM,PF,69,1484,28,209,469,521,71,183,69,299,368,77,67,105,45
Giannis Antetokounmpo,MIL,PF,67,2204,27,689,1245,2002,219,388,134,644,778,72,553,766,91
Thanasis Antetokounmpo,MIL,SF,48,473,29,70,128,171,26,22,40,61,101,16,29,46,12
Carmelo Anthony,LAL,PF,69,1793,37,319,723,919,59,68,62,226,288,47,132,159,52
Cole Anthony,ORL,PG,65,2059,21,357,912,1062,170,369,32,316,348,46,216,253,17
OG Anunoby,TOR,SF,48,1728,24,309,697,822,80,125,74,190,264,71,89,118,25
Ryan Arcidiacono,NYK,PG,10,76,27,6,12,16,3,4,0,8,8,1,0,0,0
Trevor Ariza,LAL,SF,24,462,36,33,99,96,11,27,10,72,82,13,10,18,6
D.J. Augustin,TOT,PG,55,883,34,94,222,294,56,107,11,57,68,17,38,43,1
D.J. Augustin,HOU,PG,34,510,34,55,136,182,45,74,7,34,41,10,33,38,0
D.J. Augustin,LAL,PG,21,373,34,39,86,112,11,33,4,23,27,7,5,5,1
Deni Avdija,WAS,SF,82,1984,21,250,579,685,87,167,52,373,425,59,103,136,44
Joel Ayayi,WAS,SG,7,20,21,1,6,2,0,4,1,2,3,0,0,0,0
Deandre Ayton,PHO,C,58,1713,23,442,697,997,91,84,149,444,593,40,106,142,40
Udoka Azubuike,UTA,C,17,195,22,37,49,80,12,0,18,53,71,1,6,11,11
Marvin Bagley III,TOT,PF,48,1146,22,225,446,540,39,36,105,233,338,22,67,101,18
Marvin Bagley III,SAC,PF,30,656,22,114,246,278,21,17,67,148,215,9,35,47,11
Marvin Bagley III,DET,PF,18,490,22,111,200,262,18,19,38,85,123,13,32,54,7
LaMelo Ball,CHO,PG,75,2422,20,538,1254,1508,245,571,108,393,501,119,212,243,30
Lonzo Ball,CHI,PG,35,1212,24,162,383,455,82,178,35,155,190,64,21,28,31
Mo Bamba,ORL,C,71,1824,23,296,617,756,77,85,148,424,572,38,57,73,118
